Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.0E-5 ; 1160.529
1.0625E-5 ; 1125.888
1.125E-5 ; 1094.175
1.1875E-5 ; 1065.001
1.25E-5 ; 1038.043
1.375E-5 ; 989.7514
1.5E-5 ; 947.6304
1.625E-5 ; 910.4688
1.75E-5 ; 877.3641
1.875E-5 ; 847.6282
2.0E-5 ; 820.726
2.1875E-5 ; 784.7835
2.375E-5 ; 753.187
2.5625E-5 ; 725.1258
2.75E-5 ; 699.9865
2.9375E-5 ; 677.2949
3.125E-5 ; 656.678
3.3125E-5 ; 637.8378
3.5E-5 ; 620.533
3.875E-5 ; 589.7724
4.25E-5 ; 563.18
4.625E-5 ; 539.8925
5.0E-5 ; 519.2776
5.3125E-5 ; 503.7939
5.625E-5 ; 489.6198
5.9375E-5 ; 476.5805
6.25E-5 ; 464.5323
6.875E-5 ; 442.9506
7.5E-5 ; 424.1277
8.125E-5 ; 407.5222
8.75E-5 ; 392.7305
9.375E-5 ; 379.4448
1.0E-4 ; 367.4261
1.0625E-4 ; 356.4849
1.125E-4 ; 346.4695
1.1875E-4 ; 337.2563
1.25E-4 ; 328.7438
1.375E-4 ; 313.4963
1.5E-4 ; 300.1991
1.625E-4 ; 288.4693
1.75E-4 ; 278.0215
1.875E-4 ; 268.6384
2.0E-4 ; 260.1509
2.1875E-4 ; 248.8129
2.375E-4 ; 238.8483
2.5625E-4 ; 230.0004
2.75E-4 ; 222.0756
2.9375E-4 ; 214.9239
3.125E-4 ; 208.4276
3.3125E-4 ; 202.4924
3.5E-4 ; 197.0421
3.875E-4 ; 187.357
4.25E-4 ; 178.988
4.625E-4 ; 171.6623
5.0E-4 ; 165.1802
5.3125E-4 ; 160.3135
5.625E-4 ; 155.8601
5.9375E-4 ; 151.7648
6.25E-4 ; 147.9821
6.875E-4 ; 141.2099
7.5E-4 ; 135.3078
8.125E-4 ; 130.1048
8.75E-4 ; 125.4735
9.375E-4 ; 121.3168
0.001 ; 117.5592
0.0010625 ; 114.1411
0.001125 ; 111.0144
0.0011875 ; 108.1403
0.00125 ; 105.4867
0.001375 ; 100.7388
0.0015 ; 96.60421
0.001625 ; 92.96228
0.00175 ; 89.72313
0.001875 ; 86.81826
0.002 ; 84.19442
0.0021875 ; 80.69579
0.002375 ; 77.6275
0.0025625 ; 74.90903
0.00275 ; 72.47939
0.0029375 ; 70.29152
0.003125 ; 68.30839
0.0033125 ; 66.50045
0.0035 ; 64.84375
0.003875 ; 61.90911
0.00425 ; 59.384
0.004625 ; 57.18301
0.005 ; 55.24369
0.0053125 ; 53.79327
0.005625 ; 52.47062
0.0059375 ; 51.25852
