Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.0E-5 ; 16.73452
1.0625E-5 ; 16.23487
1.125E-5 ; 15.77746
1.1875E-5 ; 15.35665
1.25E-5 ; 14.96781
1.375E-5 ; 14.27125
1.5E-5 ; 13.66368
1.625E-5 ; 13.12764
1.75E-5 ; 12.65011
1.875E-5 ; 12.22117
2.0E-5 ; 11.83309
2.1875E-5 ; 11.3146
2.375E-5 ; 10.85879
2.5625E-5 ; 10.45397
2.75E-5 ; 10.0913
2.9375E-5 ; 9.763923
3.125E-5 ; 9.466474
3.3125E-5 ; 9.194653
3.5E-5 ; 8.944977
3.875E-5 ; 8.501145
4.25E-5 ; 8.117435
4.625E-5 ; 7.781394
5.0E-5 ; 7.483905
5.3125E-5 ; 7.260454
5.625E-5 ; 7.055893
5.9375E-5 ; 6.867702
6.25E-5 ; 6.693808
6.875E-5 ; 6.382296
7.5E-5 ; 6.110583
8.125E-5 ; 5.870858
8.75E-5 ; 5.6573
9.375E-5 ; 5.465471
1.0E-4 ; 5.29192
1.0625E-4 ; 5.133916
1.125E-4 ; 4.98927
1.1875E-4 ; 4.856199
1.25E-4 ; 4.733237
1.375E-4 ; 4.512964
1.5E-4 ; 4.320834
1.625E-4 ; 4.151323
1.75E-4 ; 4.000315
1.875E-4 ; 3.864672
2.0E-4 ; 3.741953
2.1875E-4 ; 3.577992
2.375E-4 ; 3.433853
2.5625E-4 ; 3.305838
2.75E-4 ; 3.191149
2.9375E-4 ; 3.087625
3.125E-4 ; 2.993563
3.3125E-4 ; 2.907605
3.5E-4 ; 2.828651
3.875E-4 ; 2.688299
4.25E-4 ; 2.566959
4.625E-4 ; 2.460694
5.0E-4 ; 2.366619
5.3125E-4 ; 2.295958
5.625E-4 ; 2.23127
5.9375E-4 ; 2.171759
6.25E-4 ; 2.116768
6.875E-4 ; 2.01826
7.5E-4 ; 1.932336
8.125E-4 ; 1.856529
8.75E-4 ; 1.788996
9.375E-4 ; 1.728334
0.001 ; 1.673452
0.0010625 ; 1.623487
0.001125 ; 1.577746
0.0011875 ; 1.535665
0.00125 ; 1.496781
0.001375 ; 1.427125
0.0015 ; 1.366368
0.001625 ; 1.312764
0.00175 ; 1.265011
0.001875 ; 1.222117
0.002 ; 1.183309
0.0021875 ; 1.13146
0.002375 ; 1.085879
0.0025625 ; 1.045397
0.00275 ; 1.00913
0.0029375 ; 0.9763923
0.003125 ; 0.9466474
0.0033125 ; 0.9194652
0.0035 ; 0.8944977
0.003875 ; 0.8501144
0.00425 ; 0.8117434
0.004625 ; 0.7781393
0.005 ; 0.7483904
0.0053125 ; 0.7260453
0.005625 ; 0.7055892
