Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.0E-5 ; 1177.264
1.0625E-5 ; 1142.123
1.125E-5 ; 1109.953
1.1875E-5 ; 1080.357
1.25E-5 ; 1053.011
1.375E-5 ; 1004.023
1.5E-5 ; 961.2941
1.625E-5 ; 923.5964
1.75E-5 ; 890.0142
1.875E-5 ; 859.8494
2.0E-5 ; 832.5591
2.1875E-5 ; 796.0981
2.375E-5 ; 764.0458
2.5625E-5 ; 735.5798
2.75E-5 ; 710.0778
2.9375E-5 ; 687.0588
3.125E-5 ; 666.1445
3.3125E-5 ; 647.0324
3.5E-5 ; 629.478
3.875E-5 ; 598.2736
4.25E-5 ; 571.2975
4.625E-5 ; 547.6739
5.0E-5 ; 526.7615
5.3125E-5 ; 511.0544
5.625E-5 ; 496.6757
5.9375E-5 ; 483.4482
6.25E-5 ; 471.2261
6.875E-5 ; 449.3329
7.5E-5 ; 430.2383
8.125E-5 ; 413.3931
8.75E-5 ; 398.3878
9.375E-5 ; 384.9103
1.0E-4 ; 372.718
1.0625E-4 ; 361.6188
1.125E-4 ; 351.4588
1.1875E-4 ; 342.1125
1.25E-4 ; 333.477
1.375E-4 ; 318.0093
1.5E-4 ; 304.52
1.625E-4 ; 292.6206
1.75E-4 ; 282.0219
1.875E-4 ; 272.503
2.0E-4 ; 263.8928
2.1875E-4 ; 252.3909
2.375E-4 ; 242.2822
2.5625E-4 ; 233.3063
2.75E-4 ; 225.2667
2.9375E-4 ; 218.0116
3.125E-4 ; 211.4211
3.3125E-4 ; 205.4
3.5E-4 ; 199.8708
3.875E-4 ; 190.0453
4.25E-4 ; 181.5549
4.625E-4 ; 174.123
5.0E-4 ; 167.5468
5.3125E-4 ; 162.6095
5.625E-4 ; 158.0914
5.9375E-4 ; 153.9365
6.25E-4 ; 150.0988
6.875E-4 ; 143.2282
7.5E-4 ; 137.2401
8.125E-4 ; 131.9613
8.75E-4 ; 127.2625
9.375E-4 ; 123.0451
0.001 ; 119.2327
0.0010625 ; 115.7646
0.001125 ; 112.5922
0.0011875 ; 109.676
0.00125 ; 106.9835
0.001375 ; 102.1659
0.0015 ; 97.97058
0.001625 ; 94.27505
0.00175 ; 90.98814
0.001875 ; 88.04037
0.002 ; 85.37773
0.0021875 ; 81.82725
0.002375 ; 78.71338
0.0025625 ; 75.95442
0.00275 ; 73.48852
0.0029375 ; 71.26792
0.003125 ; 69.25504
0.0033125 ; 67.41991
0.0035 ; 65.73825
0.003875 ; 62.75922
0.00425 ; 60.19574
0.004625 ; 57.96115
0.005 ; 55.99208
0.0053125 ; 54.51931
0.005625 ; 53.17621
0.0059375 ; 51.94529
