Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.0E-5 ; 54.1874
1.0625E-5 ; 52.57634
1.125E-5 ; 51.10167
1.1875E-5 ; 49.74518
1.25E-5 ; 48.49191
1.375E-5 ; 46.24724
1.5E-5 ; 44.28987
1.625E-5 ; 42.56338
1.75E-5 ; 41.02575
1.875E-5 ; 39.64493
2.0E-5 ; 38.396
2.1875E-5 ; 36.72788
2.375E-5 ; 35.262
2.5625E-5 ; 33.96061
2.75E-5 ; 32.79515
2.9375E-5 ; 31.74356
3.125E-5 ; 30.78846
3.3125E-5 ; 29.91598
3.5E-5 ; 29.11491
3.75E-5 ; 28.14219
4.0E-5 ; 27.26261
4.25E-5 ; 26.46225
4.625E-5 ; 25.38637
5.0E-5 ; 24.43466
5.3125E-5 ; 23.72032
5.625E-5 ; 23.06679
5.9375E-5 ; 22.46596
6.25E-5 ; 21.91112
6.875E-5 ; 20.91814
7.5E-5 ; 20.05315
8.0E-5 ; 19.43616
8.75E-5 ; 18.61287
9.375E-5 ; 18.00454
1.0E-4 ; 17.45488
1.0625E-4 ; 16.95511
1.125E-4 ; 16.49817
1.1875E-4 ; 16.07833
1.25E-4 ; 15.69089
1.375E-4 ; 14.99814
1.5E-4 ; 14.39545
1.625E-4 ; 13.86506
1.75E-4 ; 13.39376
1.875E-4 ; 12.97149
2.0E-4 ; 12.59042
2.1875E-4 ; 12.08288
2.375E-4 ; 11.63838
2.5625E-4 ; 11.24509
2.75E-4 ; 10.89406
2.9375E-4 ; 10.57838
3.125E-4 ; 10.29263
3.3125E-4 ; 10.03247
3.5E-4 ; 9.794385
3.75E-4 ; 9.506397
4.0E-4 ; 9.247123
4.25E-4 ; 9.012227
4.625E-4 ; 8.698169
5.0E-4 ; 8.422149
5.3125E-4 ; 8.216194
5.625E-4 ; 8.028772
5.9375E-4 ; 7.857371
6.25E-4 ; 7.699923
6.875E-4 ; 7.420313
7.5E-4 ; 7.179246
8.0E-4 ; 7.008879
8.75E-4 ; 6.783813
9.375E-4 ; 6.619335
0.001 ; 6.472178
0.0010625 ; 6.339673
0.001125 ; 6.219684
0.0011875 ; 6.110482
0.00125 ; 6.010646
0.001375 ; 5.834565
0.0015 ; 5.684124
0.001625 ; 5.554051
0.00175 ; 5.440448
0.001875 ; 5.340362
0.002 ; 5.251512
0.0021875 ; 5.135493
0.002375 ; 5.036212
0.0025625 ; 4.950311
0.00275 ; 4.875274
0.0029375 ; 4.80918
0.003125 ; 4.750537
0.0033125 ; 4.698164
0.0035 ; 4.651119
0.00375 ; 4.595381
0.004 ; 4.54633
0.00425 ; 4.502847
0.004625 ; 4.446173
0.005 ; 4.397787
