Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.0E-5 ; 0.008545334
1.0625E-5 ; 0.008290192
1.125E-5 ; 0.008056618
1.1875E-5 ; 0.007841736
1.25E-5 ; 0.007643179
1.375E-5 ; 0.007287485
1.5E-5 ; 0.006977236
1.625E-5 ; 0.006703511
1.75E-5 ; 0.006459665
1.875E-5 ; 0.006240629
2.0E-5 ; 0.006042463
2.1875E-5 ; 0.0057777
2.375E-5 ; 0.005544945
2.5625E-5 ; 0.005338228
2.75E-5 ; 0.00515303
2.9375E-5 ; 0.00498586
3.125E-5 ; 0.004833971
3.3125E-5 ; 0.004695167
3.5E-5 ; 0.004567673
3.75E-5 ; 0.004412791
4.0E-5 ; 0.004272667
4.25E-5 ; 0.004145096
4.625E-5 ; 0.0039735
5.0E-5 ; 0.00382159
5.3125E-5 ; 0.003707487
5.625E-5 ; 0.003603029
5.9375E-5 ; 0.003506932
6.25E-5 ; 0.003418134
6.875E-5 ; 0.003259063
7.5E-5 ; 0.003120315
8.0E-5 ; 0.003021233
8.75E-5 ; 0.002888851
9.375E-5 ; 0.002790895
1.0E-4 ; 0.002702273
1.0625E-4 ; 0.00262159
1.125E-4 ; 0.002547727
1.1875E-4 ; 0.002479776
1.25E-4 ; 0.002416987
1.375E-4 ; 0.002304506
1.5E-4 ; 0.002206397
1.625E-4 ; 0.002119838
1.75E-4 ; 0.002042727
1.875E-4 ; 0.001973462
2.0E-4 ; 0.001910796
2.1875E-4 ; 0.001827071
2.375E-4 ; 0.001753467
2.5625E-4 ; 0.001688098
2.75E-4 ; 0.001629533
2.9375E-4 ; 0.001576669
3.125E-4 ; 0.001528638
3.3125E-4 ; 0.001484744
3.5E-4 ; 0.001444427
3.75E-4 ; 0.001395449
4.0E-4 ; 0.001351138
4.25E-4 ; 0.001310797
4.625E-4 ; 0.001256533
5.0E-4 ; 0.001208495
5.3125E-4 ; 0.001172413
5.625E-4 ; 0.00113938
5.9375E-4 ; 0.001108992
6.25E-4 ; 0.001080911
6.875E-4 ; 0.001030609
7.5E-4 ; 9.86733E-4
8.0E-4 ; 9.554003E-4
8.75E-4 ; 9.135377E-4
9.375E-4 ; 8.825614E-4
0.001 ; 8.545366E-4
0.0010625 ; 8.290225E-4
0.001125 ; 8.056652E-4
0.0011875 ; 7.841771E-4
0.00125 ; 7.643214E-4
0.001375 ; 7.287522E-4
0.0015 ; 6.977274E-4
0.001625 ; 6.70355E-4
0.00175 ; 6.459705E-4
0.001875 ; 6.240671E-4
0.002 ; 6.042506E-4
0.0021875 ; 5.777744E-4
0.002375 ; 5.544989E-4
0.0025625 ; 5.338274E-4
0.00275 ; 5.153077E-4
