Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.0E-5 ; 54.19595
1.0625E-5 ; 52.58463
1.125E-5 ; 51.10972
1.1875E-5 ; 49.75302
1.25E-5 ; 48.49955
1.375E-5 ; 46.25453
1.5E-5 ; 44.29684
1.625E-5 ; 42.57009
1.75E-5 ; 41.03221
1.875E-5 ; 39.65117
2.0E-5 ; 38.40204
2.1875E-5 ; 36.73366
2.375E-5 ; 35.26754
2.5625E-5 ; 33.96595
2.75E-5 ; 32.80031
2.9375E-5 ; 31.74854
3.125E-5 ; 30.79329
3.3125E-5 ; 29.92068
3.5E-5 ; 29.11947
3.75E-5 ; 28.1466
4.0E-5 ; 27.26688
4.25E-5 ; 26.4664
4.625E-5 ; 25.39035
5.0E-5 ; 24.43849
5.3125E-5 ; 23.72403
5.625E-5 ; 23.0704
5.9375E-5 ; 22.46947
6.25E-5 ; 21.91454
6.875E-5 ; 20.9214
7.5E-5 ; 20.05627
8.0E-5 ; 19.43918
8.75E-5 ; 18.61576
9.375E-5 ; 18.00733
1.0E-4 ; 17.45759
1.0625E-4 ; 16.95773
1.125E-4 ; 16.50072
1.1875E-4 ; 16.08081
1.25E-4 ; 15.69331
1.375E-4 ; 15.00045
1.5E-4 ; 14.39765
1.625E-4 ; 13.86718
1.75E-4 ; 13.3958
1.875E-4 ; 12.97346
2.0E-4 ; 12.59233
2.1875E-4 ; 12.08471
2.375E-4 ; 11.64013
2.5625E-4 ; 11.24677
2.75E-4 ; 10.89569
2.9375E-4 ; 10.57996
3.125E-4 ; 10.29416
3.3125E-4 ; 10.03395
3.5E-4 ; 9.795829
3.75E-4 ; 9.507792
4.0E-4 ; 9.248474
4.25E-4 ; 9.013538
4.625E-4 ; 8.699425
5.0E-4 ; 8.423358
5.3125E-4 ; 8.217367
5.625E-4 ; 8.029912
5.9375E-4 ; 7.85848
6.25E-4 ; 7.701004
6.875E-4 ; 7.421343
7.5E-4 ; 7.180233
8.0E-4 ; 7.009834
8.75E-4 ; 6.784726
9.375E-4 ; 6.620218
0.001 ; 6.473033
0.0010625 ; 6.340502
0.001125 ; 6.220489
0.0011875 ; 6.111266
0.00125 ; 6.011411
0.001375 ; 5.835294
0.0015 ; 5.684821
0.001625 ; 5.554722
0.00175 ; 5.441094
0.001875 ; 5.340986
0.002 ; 5.252117
0.0021875 ; 5.136071
0.002375 ; 5.036767
0.0025625 ; 4.950845
0.00275 ; 4.87579
0.0029375 ; 4.809679
0.003125 ; 4.75102
0.0033125 ; 4.698633
0.0035 ; 4.651576
0.00375 ; 4.595822
0.004 ; 4.546758
0.00425 ; 4.503262
0.004625 ; 4.44657
0.005 ; 4.398169
