Outgoing energy ; 
Outgoing energy ; E=500 keV
Outgoing energy ; p(E,E')
0.0 ; 0.0
10.0 ; 2.054275E-9
11.0 ; 2.154544E-9
12.0 ; 2.250347E-9
13.0 ; 2.342235E-9
14.0 ; 2.430651E-9
15.0 ; 2.515964E-9
16.0 ; 2.598474E-9
17.0 ; 2.678448E-9
18.0 ; 2.756099E-9
19.0 ; 2.831623E-9
20.0 ; 2.905185E-9
21.0 ; 2.976932E-9
22.0 ; 3.046982E-9
23.0 ; 3.115465E-9
24.0 ; 3.18247E-9
25.0 ; 3.248093E-9
26.0 ; 3.312424E-9
27.0 ; 3.375522E-9
28.0 ; 3.437463E-9
29.0 ; 3.498309E-9
30.0 ; 3.55811E-9
31.0 ; 3.616927E-9
32.0 ; 3.674806E-9
33.0 ; 3.731783E-9
34.0 ; 3.787898E-9
35.0 ; 3.843199E-9
36.0 ; 3.897715E-9
37.0 ; 3.951481E-9
38.0 ; 4.004527E-9
39.0 ; 4.056876E-9
40.0 ; 4.108556E-9
41.0 ; 4.159598E-9
42.0 ; 4.210017E-9
43.0 ; 4.259843E-9
44.0 ; 4.309087E-9
45.0 ; 4.357785E-9
46.0 ; 4.40594E-9
47.0 ; 4.453568E-9
48.0 ; 4.500704E-9
49.0 ; 4.547344E-9
50.0 ; 4.593507E-9
51.0 ; 4.639215E-9
52.0 ; 4.684476E-9
53.0 ; 4.729309E-9
54.0 ; 4.773721E-9
55.0 ; 4.817713E-9
56.0 ; 4.861317E-9
57.0 ; 4.904529E-9
58.0 ; 4.947367E-9
59.0 ; 4.989834E-9
60.0 ; 5.031948E-9
61.0 ; 5.073703E-9
62.0 ; 5.115121E-9
63.0 ; 5.156208E-9
64.0 ; 5.19697E-9
65.0 ; 5.23741E-9
66.0 ; 5.277549E-9
67.0 ; 5.317379E-9
68.0 ; 5.356917E-9
69.0 ; 5.396162E-9
70.0 ; 5.435122E-9
71.0 ; 5.473807E-9
72.0 ; 5.512227E-9
73.0 ; 5.550369E-9
74.0 ; 5.588258E-9
75.0 ; 5.625894E-9
76.0 ; 5.663275E-9
77.0 ; 5.700407E-9
78.0 ; 5.737307E-9
79.0 ; 5.773967E-9
80.0 ; 5.810401E-9
81.0 ; 5.846596E-9
82.0 ; 5.882577E-9
83.0 ; 5.91834E-9
84.0 ; 5.953888E-9
85.0 ; 5.989221E-9
86.0 ; 6.024352E-9
87.0 ; 6.059272E-9
88.0 ; 6.094004E-9
89.0 ; 6.128531E-9
90.0 ; 6.162863E-9
91.0 ; 6.197004E-9
92.0 ; 6.230961E-9
93.0 ; 6.264735E-9
94.0 ; 6.298326E-9
95.0 ; 6.331746E-9
96.0 ; 6.364985E-9
97.0 ; 6.398044E-9
98.0 ; 6.430942E-9
99.0 ; 6.463669E-9
100.0 ; 6.496237E-9
110.0 ; 6.813317E-9
120.0 ; 7.116282E-9
130.0 ; 7.406868E-9
140.0 ; 7.686482E-9
150.0 ; 7.956271E-9
160.0 ; 8.217199E-9
170.0 ; 8.470106E-9
180.0 ; 8.71567E-9
190.0 ; 8.95451E-9
200.0 ; 9.187146E-9
210.0 ; 9.414023E-9
220.0 ; 9.635566E-9
230.0 ; 9.852134E-9
240.0 ; 1.006403E-8
250.0 ; 1.02716E-8
260.0 ; 1.047497E-8
270.0 ; 1.067453E-8
280.0 ; 1.087041E-8
290.0 ; 1.106281E-8
300.0 ; 1.125197E-8
310.0 ; 1.143796E-8
320.0 ; 1.162098E-8
330.0 ; 1.180114E-8
340.0 ; 1.197865E-8
350.0 ; 1.215352E-8
360.0 ; 1.232591E-8
370.0 ; 1.24959E-8
380.0 ; 1.266366E-8
390.0 ; 1.282924E-8
400.0 ; 1.299266E-8
410.0 ; 1.315408E-8
420.0 ; 1.331352E-8
430.0 ; 1.347108E-8
440.0 ; 1.362682E-8
450.0 ; 1.378078E-8
460.0 ; 1.393309E-8
470.0 ; 1.40837E-8
480.0 ; 1.423272E-8
490.0 ; 1.438027E-8
500.0 ; 1.452624E-8
510.0 ; 1.467076E-8
520.0 ; 1.481386E-8
530.0 ; 1.495564E-8
540.0 ; 1.509608E-8
550.0 ; 1.52352E-8
560.0 ; 1.537305E-8
570.0 ; 1.550973E-8
580.0 ; 1.564518E-8
590.0 ; 1.577947E-8
600.0 ; 1.591263E-8
610.0 ; 1.604468E-8
620.0 ; 1.617566E-8
630.0 ; 1.630552E-8
640.0 ; 1.643449E-8
650.0 ; 1.656236E-8
660.0 ; 1.668925E-8
670.0 ; 1.681518E-8
680.0 ; 1.694018E-8
690.0 ; 1.706428E-8
700.0 ; 1.718749E-8
710.0 ; 1.730982E-8
720.0 ; 1.74313E-8
730.0 ; 1.75519E-8
740.0 ; 1.767166E-8
750.0 ; 1.779065E-8
760.0 ; 1.790884E-8
770.0 ; 1.802628E-8
780.0 ; 1.814296E-8
790.0 ; 1.825885E-8
800.0 ; 1.837407E-8
810.0 ; 1.848852E-8
820.0 ; 1.860229E-8
830.0 ; 1.871536E-8
840.0 ; 1.882772E-8
850.0 ; 1.893945E-8
860.0 ; 1.905051E-8
870.0 ; 1.916089E-8
880.0 ; 1.927073E-8
890.0 ; 1.937988E-8
900.0 ; 1.948844E-8
910.0 ; 1.959637E-8
920.0 ; 1.970371E-8
930.0 ; 1.981051E-8
940.0 ; 1.99167E-8
950.0 ; 2.002232E-8
960.0 ; 2.012743E-8
970.0 ; 2.02319E-8
980.0 ; 2.033593E-8
990.0 ; 2.043942E-8
1000.0 ; 2.054234E-8
1100.0 ; 2.154465E-8
1200.0 ; 2.250233E-8
1300.0 ; 2.342073E-8
1400.0 ; 2.430443E-8
1500.0 ; 2.515698E-8
1600.0 ; 2.598144E-8
1700.0 ; 2.678048E-8
1800.0 ; 2.755621E-8
1900.0 ; 2.831062E-8
2000.0 ; 2.90453E-8
2100.0 ; 2.976182E-8
2200.0 ; 3.046132E-8
2300.0 ; 3.114508E-8
2400.0 ; 3.181402E-8
2500.0 ; 3.246911E-8
2600.0 ; 3.311112E-8
2700.0 ; 3.374078E-8
2800.0 ; 3.43589E-8
2900.0 ; 3.496595E-8
3000.0 ; 3.556255E-8
3100.0 ; 3.614922E-8
3200.0 ; 3.672641E-8
3300.0 ; 3.729465E-8
3400.0 ; 3.785419E-8
3500.0 ; 3.840555E-8
3600.0 ; 3.894902E-8
3700.0 ; 3.948493E-8
3800.0 ; 4.00136E-8
3900.0 ; 4.053528E-8
4000.0 ; 4.105028E-8
4100.0 ; 4.155881E-8
4200.0 ; 4.206114E-8
