Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.0E-5 ; 54.38552
1.0625E-5 ; 52.85764
1.125E-5 ; 51.46152
1.1875E-5 ; 50.17951
1.25E-5 ; 48.99709
1.375E-5 ; 46.88471
1.5E-5 ; 45.04902
1.625E-5 ; 43.43539
1.75E-5 ; 42.00317
1.875E-5 ; 40.72138
2.0E-5 ; 39.56594
2.145532E-5 ; 38.35485
2.291063E-5 ; 37.26567
2.436594E-5 ; 36.27976
2.582125E-5 ; 35.38218
2.727657E-5 ; 34.56088
2.873188E-5 ; 33.80594
3.16425E-5 ; 32.46371
3.455313E-5 ; 31.30445
3.746375E-5 ; 30.2914
4.037438E-5 ; 29.39726
4.3285E-5 ; 28.60134
4.66425E-5 ; 27.78447
5.0E-5 ; 27.05802
5.3125E-5 ; 26.45009
5.625E-5 ; 25.8982
5.9375E-5 ; 25.39468
6.25E-5 ; 24.93324
6.875E-5 ; 24.11656
7.5E-5 ; 23.41564
8.125E-5 ; 22.807
8.75E-5 ; 22.27321
9.375E-5 ; 21.80106
1.0E-4 ; 21.38032
1.0625E-4 ; 21.00296
1.125E-4 ; 20.66253
1.1875E-4 ; 20.35385
1.25E-4 ; 20.07266
1.375E-4 ; 19.57921
1.5E-4 ; 19.16037
1.625E-4 ; 18.80045
1.75E-4 ; 18.48791
1.875E-4 ; 18.21404
2.0E-4 ; 17.97214
2.1875E-4 ; 17.65809
2.375E-4 ; 17.39108
2.5625E-4 ; 17.16139
2.75E-4 ; 16.96179
2.9375E-4 ; 16.7868
3.125E-4 ; 16.6322
3.3125E-4 ; 16.49464
3.5E-4 ; 16.3715
3.875E-4 ; 16.16032
4.25E-4 ; 15.98588
4.625E-4 ; 15.83943
5.0E-4 ; 15.71477
5.3125E-4 ; 15.62424
5.625E-4 ; 15.54372
5.9375E-4 ; 15.47163
6.25E-4 ; 15.40672
6.875E-4 ; 15.29454
7.5E-4 ; 15.201
8.125E-4 ; 15.12179
8.75E-4 ; 15.05387
9.375E-4 ; 14.99496
0.001 ; 14.94338
0.0010625 ; 14.89784
0.001125 ; 14.85733
0.0011875 ; 14.82106
0.00125 ; 14.78838
0.001375 ; 14.73188
0.0015 ; 14.6847
0.001625 ; 14.6447
0.00175 ; 14.61034
0.001875 ; 14.58049
0.002 ; 14.55431
0.0021875 ; 14.52053
0.002375 ; 14.49196
0.0025625 ; 14.46746
0.00275 ; 14.44619
0.0029375 ; 14.42754
0.003125 ; 14.41103
0.0033125 ; 14.39629
0.0035 ; 14.38306
0.003875 ; 14.3602
0.00425 ; 14.3411
0.004625 ; 14.32485
0.005 ; 14.3108
0.0053125 ; 14.30044
