Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.0E-5 ; 30933.41
1.0625E-5 ; 30009.75
1.125E-5 ; 29164.18
1.1875E-5 ; 28386.27
1.25E-5 ; 27667.45
1.375E-5 ; 26379.77
1.5E-5 ; 25256.61
1.625E-5 ; 24265.66
1.75E-5 ; 23382.88
1.875E-5 ; 22589.92
2.0E-5 ; 21872.5
2.145532E-5 ; 21117.57
2.291063E-5 ; 20435.76
2.436594E-5 ; 19815.98
2.582125E-5 ; 19249.37
2.727657E-5 ; 18728.73
2.873188E-5 ; 18248.16
3.16425E-5 ; 17388.47
3.455313E-5 ; 16639.84
3.746375E-5 ; 15980.23
4.037438E-5 ; 15393.29
4.3285E-5 ; 14866.6
4.66425E-5 ; 14321.37
5.0E-5 ; 13832.02
5.3125E-5 ; 13418.89
5.625E-5 ; 13040.69
5.9375E-5 ; 12692.74
6.25E-5 ; 12371.22
6.875E-5 ; 11795.26
7.5E-5 ; 11292.86
8.125E-5 ; 10849.61
8.75E-5 ; 10454.73
9.375E-5 ; 10100.02
1.0E-4 ; 9779.098
1.0625E-4 ; 9486.922
1.125E-4 ; 9219.439
1.1875E-4 ; 8973.357
1.25E-4 ; 8745.965
1.375E-4 ; 8338.603
1.5E-4 ; 7983.272
1.625E-4 ; 7669.76
1.75E-4 ; 7390.458
1.875E-4 ; 7139.562
2.0E-4 ; 6912.562
2.1875E-4 ; 6609.259
2.375E-4 ; 6342.606
2.5625E-4 ; 6105.768
2.75E-4 ; 5893.572
2.9375E-4 ; 5702.019
3.125E-4 ; 5527.965
3.3125E-4 ; 5368.896
3.5E-4 ; 5222.778
3.875E-4 ; 4963.009
4.25E-4 ; 4738.402
4.625E-4 ; 4541.674
5.0E-4 ; 4367.495
5.3125E-4 ; 4236.651
5.625E-4 ; 4116.857
5.9375E-4 ; 4006.639
6.25E-4 ; 3904.785
6.875E-4 ; 3722.3
7.5E-4 ; 3563.102
8.125E-4 ; 3422.622
8.75E-4 ; 3297.456
9.375E-4 ; 3185.007
0.001 ; 3083.255
0.0010625 ; 2990.605
0.001125 ; 2905.773
0.0011875 ; 2827.718
0.00125 ; 2755.58
0.001375 ; 2626.324
0.0015 ; 2513.544
0.001625 ; 2414.01
0.00175 ; 2325.313
0.001875 ; 2245.615
0.002 ; 2173.491
0.0021875 ; 2077.097
0.002375 ; 1992.326
0.0025625 ; 1917.018
0.00275 ; 1849.532
0.0029375 ; 1788.603
0.003125 ; 1733.23
0.0033125 ; 1682.615
0.0035 ; 1636.111
0.003875 ; 1553.405
0.00425 ; 1481.856
0.004625 ; 1419.166
0.005 ; 1363.654
0.0053125 ; 1321.958
