Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.0E-5 ; 5722.428
1.0625E-5 ; 5551.563
1.125E-5 ; 5395.141
1.1875E-5 ; 5251.237
1.25E-5 ; 5118.265
1.375E-5 ; 4880.059
1.5E-5 ; 4672.287
1.625E-5 ; 4488.974
1.75E-5 ; 4325.671
1.875E-5 ; 4178.982
2.0E-5 ; 4046.27
2.145532E-5 ; 3906.617
2.291063E-5 ; 3780.492
2.436594E-5 ; 3665.841
2.582125E-5 ; 3561.025
2.727657E-5 ; 3464.713
2.873188E-5 ; 3375.815
3.16425E-5 ; 3216.786
3.455313E-5 ; 3078.299
3.746375E-5 ; 2956.281
4.037438E-5 ; 2847.707
4.3285E-5 ; 2750.277
4.66425E-5 ; 2649.419
5.0E-5 ; 2558.898
5.3125E-5 ; 2482.477
5.625E-5 ; 2412.515
5.9375E-5 ; 2348.152
6.25E-5 ; 2288.678
6.875E-5 ; 2182.135
7.5E-5 ; 2089.202
8.125E-5 ; 2007.21
8.75E-5 ; 1934.165
9.375E-5 ; 1868.552
1.0E-4 ; 1809.189
1.0625E-4 ; 1755.144
1.125E-4 ; 1705.666
1.1875E-4 ; 1660.147
1.25E-4 ; 1618.086
1.375E-4 ; 1542.735
1.5E-4 ; 1477.009
1.625E-4 ; 1419.018
1.75E-4 ; 1367.356
1.875E-4 ; 1320.948
2.0E-4 ; 1278.961
2.1875E-4 ; 1222.86
2.375E-4 ; 1173.539
2.5625E-4 ; 1129.733
2.75E-4 ; 1090.484
2.9375E-4 ; 1055.054
3.125E-4 ; 1022.861
3.3125E-4 ; 993.4399
3.5E-4 ; 966.414
3.875E-4 ; 918.3674
4.25E-4 ; 876.8241
4.625E-4 ; 840.4373
5.0E-4 ; 808.221
5.3125E-4 ; 784.0197
5.625E-4 ; 761.862
5.9375E-4 ; 741.4753
6.25E-4 ; 722.6354
6.875E-4 ; 688.8803
7.5E-4 ; 659.4315
8.125E-4 ; 633.4439
8.75E-4 ; 610.2878
9.375E-4 ; 589.4829
0.001 ; 570.6558
0.0010625 ; 553.5112
0.001125 ; 537.812
0.0011875 ; 523.3653
0.00125 ; 510.0126
0.001375 ; 486.0825
0.0015 ; 465.1973
0.001625 ; 446.7594
0.00175 ; 430.3233
0.001875 ; 415.5496
0.002 ; 402.1744
0.0021875 ; 384.2888
0.002375 ; 368.5488
0.0025625 ; 354.5548
0.00275 ; 342.004
0.0029375 ; 330.6622
0.003125 ; 320.3449
0.0033125 ; 310.9046
0.0035 ; 302.2218
0.003875 ; 286.7537
0.00425 ; 273.34
0.004625 ; 261.5564
0.005 ; 251.0937
0.0053125 ; 243.2144
0.005625 ; 235.9842
