Incident energy ; 
Incident energy ; 
Incident energy ; NP
1.0E-5 ; 2.42985
0.2 ; 2.42985
0.3 ; 2.43385
1.5 ; 2.43385
2.04 ; 2.40585
2.5 ; 2.44665
3.61 ; 2.44965
4.85 ; 2.3985
6.39 ; 2.42092
7.08 ; 2.42383
8.79 ; 2.4178
9.3 ; 2.4178
10.16 ; 2.39871
12.39 ; 2.41077
15.45 ; 2.41097
16.1 ; 2.40775
16.67 ; 2.4178
18.05 ; 2.41077
19.3 ; 2.40876
21.1 ; 2.4178
22.95 ; 2.42383
23.65 ; 2.42082
25.55 ; 2.42584
26.48 ; 2.42483
30.86 ; 2.38385
32.07 ; 2.40075
33.52 ; 2.40965
34.39 ; 2.43345
35.2 ; 2.42055
38.3 ; 2.41555
39.41 ; 2.39275
44.6 ; 2.35815
51.26 ; 2.41855
52.22 ; 2.44335
53.45 ; 2.45615
55.06 ; 2.41855
58.68 ; 2.35905
72.4 ; 2.43245
74.57 ; 2.36005
100.0 ; 2.4338
1000.0 ; 2.43181
2250.0 ; 2.42759
7000.0 ; 2.41797
20000.0 ; 2.41739
50000.0 ; 2.4181
60000.0 ; 2.41922
70000.0 ; 2.422
80000.0 ; 2.43088
170000.0 ; 2.46138
200000.0 ; 2.46867
300000.0 ; 2.47447
400000.0 ; 2.47847
600000.0 ; 2.4888
700000.0 ; 2.49808
850000.0 ; 2.51408
900000.0 ; 2.51867
1000000.0 ; 2.52969
1200000.0 ; 2.54983
1600000.0 ; 2.59967
1800000.0 ; 2.62337
2400000.0 ; 2.69048
2600000.0 ; 2.72051
3500000.0 ; 2.82782
4000000.0 ; 2.89275
4500000.0 ; 2.9671
5000000.0 ; 3.04535
5500000.0 ; 3.132
6000000.0 ; 3.22255
6500000.0 ; 3.3172
7000000.0 ; 3.4054
7500000.0 ; 3.47641
8000000.0 ; 3.54463
9000000.0 ; 3.68983
9500000.0 ; 3.76116
1.05E7 ; 3.89928
1.2E7 ; 4.10102
1.25E7 ; 4.16966
1.3E7 ; 4.24115
1.45E7 ; 4.46229
1.6E7 ; 4.6901
1.65E7 ; 4.76375
1.7E7 ; 4.83344
1.8E7 ; 4.96485
1.9E7 ; 5.09017
3.0E7 ; 6.249
