Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.0E-5 ; 36710.25
1.0625E-5 ; 35614.2
1.125E-5 ; 34610.8
1.1875E-5 ; 33687.71
1.25E-5 ; 32834.74
1.375E-5 ; 31306.74
1.5E-5 ; 29973.96
1.625E-5 ; 28798.09
1.75E-5 ; 27750.57
1.875E-5 ; 26809.64
2.0E-5 ; 25958.36
2.145532E-5 ; 25062.56
2.291063E-5 ; 24253.54
2.436594E-5 ; 23518.12
2.582125E-5 ; 22845.79
2.727657E-5 ; 22228.02
2.873188E-5 ; 21657.79
3.16425E-5 ; 20637.74
3.455313E-5 ; 19749.45
3.746375E-5 ; 18966.81
4.037438E-5 ; 18270.41
4.3285E-5 ; 17645.49
4.66425E-5 ; 16998.58
5.0E-5 ; 16417.99
5.3125E-5 ; 15927.83
5.625E-5 ; 15479.11
5.9375E-5 ; 15066.3
6.25E-5 ; 14684.85
6.875E-5 ; 14001.52
7.5E-5 ; 13405.49
8.125E-5 ; 12879.63
8.75E-5 ; 12411.18
9.375E-5 ; 11990.38
1.0E-4 ; 11609.68
1.0625E-4 ; 11263.08
1.125E-4 ; 10945.78
1.1875E-4 ; 10653.87
1.25E-4 ; 10384.13
1.375E-4 ; 9900.924
1.5E-4 ; 9479.448
1.625E-4 ; 9107.586
1.75E-4 ; 8776.308
1.875E-4 ; 8478.73
2.0E-4 ; 8209.501
2.1875E-4 ; 7849.783
2.375E-4 ; 7533.541
2.5625E-4 ; 7252.667
2.75E-4 ; 7001.023
2.9375E-4 ; 6773.865
3.125E-4 ; 6567.463
3.3125E-4 ; 6378.835
3.5E-4 ; 6205.568
3.875E-4 ; 5897.541
4.25E-4 ; 5631.215
4.625E-4 ; 5397.954
5.0E-4 ; 5191.434
5.3125E-4 ; 5036.298
5.625E-4 ; 4894.266
5.9375E-4 ; 4763.589
6.25E-4 ; 4642.83
6.875E-4 ; 4426.478
7.5E-4 ; 4237.737
8.125E-4 ; 4071.191
8.75E-4 ; 3922.8
9.375E-4 ; 3789.487
0.001 ; 3668.857
0.0010625 ; 3559.016
0.001125 ; 3458.445
0.0011875 ; 3365.906
0.00125 ; 3280.384
0.001375 ; 3127.14
0.0015 ; 2993.429
0.001625 ; 2875.416
0.00175 ; 2770.248
0.001875 ; 2675.747
0.002 ; 2590.222
0.0021875 ; 2475.908
0.002375 ; 2375.369
0.0025625 ; 2286.042
0.00275 ; 2205.984
0.0029375 ; 2133.694
0.003125 ; 2067.987
0.0033125 ; 2007.917
0.0035 ; 1952.717
0.003875 ; 1854.52
0.00425 ; 1769.539
0.004625 ; 1695.048
0.005 ; 1629.06
0.0053125 ; 1579.474
